GridSize,BlockSize,Naive_GPU,Optimized_GPU,    optimized_GPU_Reduction_Loop_Unroll,    optimized_GPU_Reduction_Warp_Shuffle
1,32,0.000365602,                0.000351728,0.00117131,                0.000700671
1,64,0.00101025,                0.000895966,0.00102724,                0.000755316
1,128,0.000771529,                0.000726896,0.000764864,                0.000765357
1,256,0.000778178,                0.000750308,0.000648115,                0.000790509
1,512,0.00107813,                0.000897028,0.000611556,                0.00120396
1,1024,0.000766169,                0.000853755,0.00104806,                0.000626558
2,32,0.000916744,                0.000712172,0.000895319,                0.000910814
2,64,0.00117583,                0.0010287,0.00177293,                0.000639893
2,128,0.000763791,                0.000712438,0.000814541,                0.000695442
2,256,0.000830134,                0.000928362,0.000747145,                0.00131424
2,512,0.000813784,                0.000685807,0.000692478,                0.000749606
2,1024,0.000990098,                0.000727725,0.000936086,                0.000597876
4,32,0.00104381,                0.000689809,0.000776313,                0.000663634
4,64,0.0015684,                0.000746527,0.000749253,                0.000667348
4,128,0.000815779,                0.00117566,0.00100887,                0.000708927
4,256,0.000702613,                0.000718466,0.00070932,                0.00060572
4,512,0.000892685,                0.000911417,0.000712346,                0.000768243
4,1024,0.000974826,                0.000694961,0.000768235,                0.000869236
8,32,0.00107071,                0.000642441,0.000719609,                0.000993915
8,64,0.000874474,                0.00113427,0.000796455,                0.0007139
8,128,0.000920322,                0.000924299,0.000628017,                0.000874278
8,256,0.000806404,                0.00107815,0.000755297,                0.00113555
8,512,0.000883196,                0.00071589,0.000753019,                0.000648002
8,1024,0.00107919,                0.000846128,0.000723849,                0.00105101
16,32,0.000904679,                0.00119285,0.000761323,                0.000898819
16,64,0.000912001,                0.0008435,0.00145746,                0.00169734
16,128,0.000652834,                0.000747403,0.000730285,                0.000880375
16,256,0.000878777,                0.000705442,0.000697641,                0.00104087
16,512,0.00174753,                0.00150232,0.000711064,                0.000729088
16,1024,0.00161883,                0.00118942,0.00075848,                0.00153575
32,32,0.000989095,                0.00134892,0.000869035,                0.000891037
32,64,0.000773691,                0.000698647,0.00191847,                0.000818707
32,128,0.000810112,                0.000781581,0.000667799,                0.000896408
32,256,0.00102397,                0.00078236,0.0007403,                0.000709479
32,512,0.00121594,                0.000619445,0.000713105,                0.00100628
32,1024,0.00165158,                0.00119125,0.00103864,                0.000782234
64,32,0.000811394,                0.000801428,0.000835178,                0.000718274
64,64,0.00184377,                0.00100176,0.000688395,                0.000661653
64,128,0.000905942,                0.000676635,0.000962332,                0.00123304
64,256,0.00239156,                0.000623787,0.00111681,                0.000856748
64,512,0.0017049,                0.000732122,0.000740277,                0.000791653
64,1024,0.00376544,                0.00121138,0.00124414,                0.000963348
128,32,0.000824421,                0.000729033,0.000902921,                0.000663053
128,64,0.00101338,                0.000683228,0.000744428,                0.000625977
128,128,0.00117032,                0.000942484,0.00070569,                0.000617114
128,256,0.00182215,                0.000848029,0.000638303,                0.000760371
128,512,0.00277248,                0.00080521,0.000809308,                0.000880721
128,1024,0.00513062,                0.000837577,0.000821267,                0.00075136
